parent,child,segments
10,6,"[0, 1, 2]"
11,8,"[0, 1, 2]"
12,4,"[0, 1, 2]"
13,3,"[0, 1, 2]"
13,12,"[1, 2]"
14,11,"[0, 1]"
14,13,"[0, 1, 2]"
15,1,"[0, 1, 2]"
16,10,[2]
16,10,"[0, 1]"
17,15,"[1, 2]"
18,2,"[0, 1, 2]"
18,15,[0]
19,14,"[0, 1, 2]"
19,18,"[0, 1, 2]"
20,17,[1]
20,7,"[0, 1, 2]"
21,16,"[0, 1, 2]"
22,9,"[0, 1, 2]"
23,17,[2]
23,12,[0]
24,5,"[0, 1, 2]"
24,21,[0]
25,11,[2]
25,24,"[0, 1, 2]"
26,19,"[0, 1, 2]"
26,22,[1]
27,0,"[0, 1, 2]"
28,20,"[0, 1, 2]"
29,26,"[0, 1, 2]"
30,29,"[0, 2]"
31,22,"[0, 2]"
31,29,[1]
32,23,"[0, 2]"
32,28,"[1, 2]"
33,28,[0]
33,27,"[1, 2]"
34,27,[0]
34,32,"[0, 1, 2]"
35,21,"[1, 2]"
36,34,"[0, 1, 2]"
37,36,"[0, 2]"
37,35,[2]
38,31,"[0, 1, 2]"
39,37,"[0, 2]"
40,25,"[0, 1, 2]"
40,38,[1]
41,36,[1]
41,35,[1]
42,33,"[0, 1, 2]"
43,38,"[0, 2]"
44,42,"[1, 2]"
45,42,[0]
45,44,[2]
46,45,"[0, 2]"
46,40,"[0, 1, 2]"
47,43,[0]
47,39,[0]
48,46,"[0, 1, 2]"
48,44,[1]
49,43,[2]
49,41,[1]
50,49,"[1, 2]"
51,30,[2]
51,39,[2]
52,47,[0]
52,30,[0]
53,48,"[0, 1, 2]"
54,53,"[1, 2]"
54,50,[1]
55,51,[2]
55,52,[0]
56,53,[0]
56,50,[2]
57,56,"[0, 2]"
58,55,"[0, 2]"
59,58,[2]
59,57,[0]
60,58,[0]
60,59,"[0, 2]"
61,57,[2]
61,60,[2]
62,61,[2]
62,54,[2]
