parent,child,segments
10,2,"[0, 1, 2]"
11,9,"[0, 1, 2]"
12,1,"[0, 1, 2]"
13,4,"[0, 1, 2]"
14,8,"[0, 1, 2]"
15,10,[2]
15,14,"[1, 2]"
16,11,"[0, 1]"
17,6,"[0, 1, 2]"
18,13,"[0, 2]"
18,15,"[1, 2]"
19,3,"[0, 1, 2]"
19,16,[1]
20,10,"[0, 1]"
20,11,[2]
21,20,"[0, 1, 2]"
22,21,"[0, 2]"
22,17,[1]
23,22,"[0, 1, 2]"
24,0,"[0, 1, 2]"
25,12,"[0, 1]"
26,17,"[0, 2]"
26,24,[1]
27,23,"[1, 2]"
28,19,"[0, 1, 2]"
29,5,"[0, 1, 2]"
30,27,[2]
30,12,[2]
31,28,"[0, 2]"
32,25,[0]
32,13,[1]
33,27,[1]
33,23,[0]
34,26,"[0, 1, 2]"
34,24,"[0, 2]"
35,29,"[1, 2]"
36,18,"[0, 1, 2]"
37,34,"[0, 1, 2]"
38,36,"[1, 2]"
38,28,[1]
39,7,"[0, 1, 2]"
40,39,"[0, 1]"
40,35,[1]
41,38,"[1, 2]"
41,29,[0]
42,33,"[0, 1]"
43,40,"[0, 1]"
43,32,"[0, 1]"
44,14,[0]
44,35,[2]
45,43,"[0, 1]"
46,41,"[0, 1, 2]"
46,37,[0]
47,46,"[0, 1, 2]"
48,31,[0]
48,45,[1]
49,47,"[0, 1]"
50,48,"[0, 1]"
51,44,"[0, 2]"
52,42,[0]
52,51,[2]
53,52,"[0, 2]"
54,49,[1]
54,45,[0]
55,54,"[0, 1]"
56,50,[1]
56,16,[0]
57,25,[1]
57,50,[0]
58,37,"[1, 2]"
59,53,[2]
59,58,[2]
60,56,"[0, 1]"
61,59,[2]
61,21,[1]
62,42,[1]
62,60,[1]
63,58,[1]
63,30,[2]
64,57,"[0, 1]"
65,61,"[1, 2]"
66,64,[0]
66,63,"[1, 2]"
67,55,[0]
67,47,[2]
68,62,[1]
68,65,[2]
69,66,"[0, 1, 2]"
70,68,"[1, 2]"
71,70,[1]
71,39,[2]
72,71,"[1, 2]"
73,72,[2]
73,69,"[1, 2]"
74,36,[0]
74,70,[2]
75,60,[0]
75,72,[1]
76,74,"[0, 2]"
77,69,[0]
77,76,[2]
78,67,"[0, 2]"
79,78,[2]
79,73,"[1, 2]"
80,75,"[0, 1]"
81,80,[0]
81,78,[0]
82,65,[1]
82,64,[1]
83,79,"[1, 2]"
84,76,[0]
84,83,[2]
85,81,[0]
85,84,"[0, 2]"
86,85,"[0, 2]"
87,31,[2]
87,55,[1]
88,53,[0]
88,80,[1]
89,77,"[0, 2]"
90,49,[0]
90,87,"[1, 2]"
91,89,[2]
91,86,[0]
92,88,"[0, 1]"
93,92,[1]
93,86,[2]
94,93,"[1, 2]"
95,91,"[0, 2]"
95,89,[0]
96,83,[1]
96,94,[2]
97,96,"[1, 2]"
98,95,"[0, 2]"
99,90,"[0, 1, 2]"
100,99,"[0, 2]"
101,97,[2]
101,51,[0]
102,98,[2]
102,82,[1]
103,98,[0]
103,92,[0]
104,100,[0]
104,97,[1]
105,102,"[1, 2]"
106,100,[2]
106,104,"[0, 1]"
107,105,[2]
107,105,[1]
108,107,"[1, 2]"
109,106,"[0, 1, 2]"
110,101,"[0, 2]"
111,110,[2]
111,94,[1]
112,111,"[1, 2]"
112,99,[1]
113,112,"[1, 2]"
114,109,"[0, 2]"
115,113,[2]
115,114,[0]
116,115,"[0, 2]"
117,103,[0]
117,116,[0]
118,109,[1]
118,117,[0]
119,118,"[0, 1]"
120,119,[1]
120,119,[0]
121,120,"[0, 1]"
122,108,[2]
122,116,[2]
123,108,[1]
123,114,[2]
124,123,"[1, 2]"
125,122,[2]
125,121,[1]
126,125,"[1, 2]"
127,110,[0]
127,113,[1]
128,127,"[0, 1]"
129,126,[2]
129,126,[1]
130,129,"[1, 2]"
131,124,[2]
131,130,[2]
132,130,[1]
132,128,[1]
133,128,[0]
133,132,[1]
134,133,"[0, 1]"
135,134,[1]
135,134,[0]
136,135,"[0, 1]"
137,136,[1]
137,121,[0]
138,137,"[0, 1]"
139,138,[1]
139,138,[0]
140,139,"[0, 1]"
140,124,[1]
141,140,[0]
141,136,[0]
