parent,child,segments
10,2,"[0, 1, 2]"
11,3,"[0, 1, 2]"
12,0,"[0, 1, 2]"
12,8,"[0, 1, 2]"
13,7,"[0, 1, 2]"
13,9,"[0, 1, 2]"
14,13,"[0, 1, 2]"
14,11,[2]
15,5,"[0, 1, 2]"
16,11,"[0, 1]"
17,15,"[0, 2]"
17,4,"[0, 1, 2]"
18,1,"[0, 1, 2]"
19,10,"[1, 2]"
19,14,"[0, 1, 2]"
20,19,"[0, 1, 2]"
20,18,[0]
21,6,"[0, 1, 2]"
21,16,[1]
22,20,"[0, 1, 2]"
23,17,"[0, 1, 2]"
23,16,[0]
24,18,"[1, 2]"
24,22,[2]
25,23,"[0, 1, 2]"
25,22,"[0, 1]"
26,21,"[0, 1, 2]"
27,26,"[0, 1]"
28,25,"[0, 1, 2]"
28,24,"[1, 2]"
29,27,[1]
29,12,"[0, 1, 2]"
30,29,"[0, 1, 2]"
30,10,[0]
31,30,"[0, 1, 2]"
31,15,[1]
32,26,[2]
32,28,"[0, 1, 2]"
33,31,"[0, 1, 2]"
34,32,"[0, 1, 2]"
35,33,"[0, 2]"
36,34,"[0, 1]"
37,35,[2]
37,35,[0]
38,34,[2]
38,36,[1]
39,38,"[1, 2]"
40,37,"[0, 2]"
41,33,[1]
41,36,[0]
42,41,"[0, 1]"
43,27,[0]
43,40,[2]
44,40,[0]
44,43,"[0, 2]"
45,44,"[0, 2]"
45,42,[1]
46,45,"[0, 1, 2]"
47,46,"[1, 2]"
48,39,[1]
48,39,[2]
49,48,"[1, 2]"
50,42,[0]
50,47,[2]
51,50,"[0, 2]"
51,46,[0]
52,49,[2]
52,47,[1]
53,52,"[1, 2]"
54,51,[2]
54,53,[2]
55,53,[1]
55,49,[1]
