parent,child,segments
10,6,"[0, 1, 2]"
10,5,"[0, 1, 2]"
11,4,"[0, 1, 2]"
11,1,"[0, 1, 2]"
12,11,"[0, 1, 2]"
12,3,"[0, 1, 2]"
13,10,"[0, 1, 2]"
13,0,"[0, 1, 2]"
14,2,"[0, 1, 2]"
15,7,"[0, 1, 2]"
16,15,[1]
16,9,"[0, 1, 2]"
17,15,"[0, 2]"
18,16,"[0, 1, 2]"
18,17,[2]
19,12,"[0, 1, 2]"
19,13,"[0, 1, 2]"
20,19,"[0, 1, 2]"
21,20,[1]
21,14,[2]
22,18,"[0, 1, 2]"
22,20,"[0, 2]"
23,14,"[0, 1]"
24,22,"[0, 1, 2]"
25,8,"[0, 1, 2]"
25,17,[0]
26,23,[0]
26,21,"[1, 2]"
27,24,[2]
27,25,"[0, 1, 2]"
28,24,"[0, 1]"
29,27,"[0, 1, 2]"
30,29,"[1, 2]"
30,28,[1]
31,30,"[1, 2]"
31,28,[0]
32,26,"[0, 1, 2]"
33,32,"[1, 2]"
33,32,[0]
34,33,"[0, 1, 2]"
35,34,[0]
35,29,[0]
36,34,"[1, 2]"
36,31,"[0, 1, 2]"
37,35,[0]
37,23,[1]
38,37,"[0, 1]"
39,36,"[0, 1]"
39,38,[0]
40,38,[1]
40,39,[1]
