rate,observable,unobservable,total
0.001098,0,0,0
0.001103,0,0,0
0.001293,0,0,0
0.001312,0,0,0
0.001346,0,0,0
0.001377,1,0,1
0.001382,0,0,0
0.001868,1,0,1
0.002205,0,0,0
0.002513,1,0,1
0.003094,1,0,1
0.003149,3,0,3
0.003201,1,0,1
0.003487,0,0,0
0.003924,1,0,1
0.004071,2,0,2
0.004326,0,0,0
0.005048,2,0,2
0.00529,3,0,3
0.005323,2,0,2
0.005763,4,0,4
0.005942,4,0,4
0.007318,4,0,4
0.008801,5,0,5
0.010178,3,0,3
0.011137,4,0,4
0.011546,1,0,1
0.012514,4,0,4
0.012738,8,0,8
0.014145,5,0,5
0.01581,8,0,8
0.017192,6,0,6
0.017193,6,0,6
0.01774,7,0,7
0.023337,11,0,11
0.023711,15,0,15
0.023748,7,0,7
0.033988,18,0,18
0.039071,7,0,7
0.041199,11,0,11
0.0422,12,0,12
0.044194,13,0,13
0.044719,9,0,9
0.045363,6,0,6
0.046272,17,0,17
0.047988,10,0,10
0.05138,15,0,15
0.057736,7,0,7
0.064657,15,0,15
0.065836,17,0,17
0.069753,24,0,24
0.070803,21,0,21
0.07147,18,0,18
0.075214,12,0,12
0.080498,13,0,13
0.080918,22,0,22
0.08195,25,0,25
0.083737,16,0,16
0.084238,20,0,20
0.084761,25,0,25
0.086461,20,0,20
0.090807,15,0,15
0.095459,15,0,15
0.096441,21,0,21
0.098666,21,0,21
0.116291,27,0,27
0.118104,15,0,15
0.13612,27,0,27
0.141888,17,0,17
0.144637,30,0,30
0.157117,31,0,31
0.161916,34,0,34
0.171366,29,0,29
0.21399,20,0,20
0.220567,41,0,41
0.235572,34,0,34
0.253818,37,0,37
0.256479,44,0,44
0.2676,49,0,49
0.292004,49,0,49
0.292853,38,0,38
0.305491,56,0,56
0.306804,42,0,42
0.361617,41,0,41
0.370509,37,0,37
0.372385,44,0,44
0.377164,38,0,38
0.415725,62,0,62
0.417952,56,0,56
0.461973,54,0,54
0.484866,40,0,40
0.554211,36,0,36
0.606553,27,0,27
0.654976,54,0,54
0.751117,89,0,89
0.778728,69,0,69
0.8187,60,0,60
0.858234,49,0,49
0.885164,56,0,56
0.995145,62,0,62
